# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0480 0.0138 0.0012 0.0005 0.0188
0.1000 0.2000 0.0283 0.0075 0.0006 0.0004 0.0104
0.1000 0.4000 0.0241 0.0047 0.0023 0.0032 0.0087
0.1000 0.6000 0.0152 0.0022 0.0021 0.0031 0.0053
0.1000 0.8000 0.0285 0.0027 0.0062 0.0088 0.0105
0.1000 1.0000 0.0285 0.0027 0.0062 0.0088 0.0105
0.3000 0.0000 0.3206 0.1255 0.0385 0.0470 0.1735
0.3000 0.2000 0.2159 0.0734 0.0187 0.0195 0.1035
0.3000 0.4000 0.1709 0.0480 0.0213 0.0265 0.0779
0.3000 0.6000 0.1489 0.0309 0.0285 0.0389 0.0657
0.3000 0.8000 0.1786 0.0289 0.0478 0.0660 0.0819
0.3000 1.0000 0.2493 0.0423 0.0763 0.1046 0.1224
0.5000 0.0000 0.6799 0.4077 0.2560 0.3617 0.5233
0.5000 0.2000 0.5119 0.2393 0.1135 0.1659 0.3302
0.5000 0.4000 0.4071 0.1531 0.0830 0.1158 0.2338
0.5000 0.6000 0.3624 0.1090 0.0941 0.1332 0.1998
0.5000 0.8000 0.4422 0.1278 0.1483 0.2146 0.2605
0.5000 1.0000 0.5857 0.2227 0.2365 0.3473 0.3981
0.7000 0.0000 0.9353 0.8456 0.7996 0.8668 0.8994
0.7000 0.2000 0.7971 0.5495 0.4242 0.5515 0.6720
0.7000 0.4000 0.6621 0.3511 0.2440 0.3518 0.4868
0.7000 0.6000 0.6120 0.2839 0.2346 0.3458 0.4334
0.7000 0.8000 0.7097 0.3704 0.3232 0.4699 0.5407
0.7000 1.0000 0.8679 0.6489 0.5798 0.7199 0.7742
0.9000 0.0000 0.9978 0.9943 0.9927 0.9955 0.9965
0.9000 0.2000 0.9706 0.9171 0.8955 0.9360 0.9501
0.9000 0.4000 0.8740 0.6868 0.5955 0.7184 0.7913
0.9000 0.6000 0.8128 0.5799 0.5127 0.6513 0.7111
0.9000 0.8000 0.9127 0.7601 0.7011 0.8099 0.8501
0.9000 1.0000 0.9965 0.9909 0.9877 0.9927 0.9944
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9960 0.9892 0.9861 0.9919 0.9934
1.0000 0.4000 0.9389 0.8417 0.7882 0.8624 0.8996
1.0000 0.6000 0.8815 0.7280 0.6749 0.7800 0.8200
1.0000 0.8000 0.9773 0.9365 0.9164 0.9501 0.9618
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
