# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.1156 0.0434 0.0373 0.0296 0.0739
0.1000 0.2000 0.0955 0.0334 0.0297 0.0243 0.0602
0.1000 0.4000 0.0825 0.0256 0.0244 0.0211 0.0487
0.1000 0.6000 0.0508 0.0011 0.0024 0.0034 0.0050
0.1000 0.8000 0.0471 0.0029 0.0065 0.0091 0.0114
0.1000 1.0000 0.0285 0.0027 0.0062 0.0088 0.0105
0.3000 0.0000 0.3561 0.1565 0.1346 0.1535 0.2477
0.3000 0.2000 0.2879 0.1190 0.1043 0.1090 0.1943
0.3000 0.4000 0.2480 0.0916 0.0841 0.0874 0.1580
0.3000 0.6000 0.2221 0.0681 0.0697 0.0760 0.1301
0.3000 0.8000 0.2298 0.0534 0.0701 0.0868 0.1238
0.3000 1.0000 0.2493 0.0423 0.0763 0.1046 0.1224
0.5000 0.0000 0.5866 0.3209 0.2717 0.3627 0.4526
0.5000 0.2000 0.4844 0.2331 0.2002 0.2543 0.3516
0.5000 0.4000 0.4362 0.1829 0.1656 0.2058 0.2974
0.5000 0.6000 0.4280 0.1604 0.1557 0.1967 0.2814
0.5000 0.8000 0.4894 0.1805 0.1857 0.2485 0.3272
0.5000 1.0000 0.5857 0.2227 0.2365 0.3473 0.3981
0.7000 0.0000 0.8352 0.6591 0.6005 0.7141 0.7609
0.7000 0.2000 0.6819 0.4119 0.3569 0.4714 0.5514
0.7000 0.4000 0.6207 0.3376 0.2889 0.3922 0.4821
0.7000 0.6000 0.6362 0.3373 0.2986 0.3999 0.4938
0.7000 0.8000 0.7171 0.4051 0.3682 0.4972 0.5723
0.7000 1.0000 0.8679 0.6489 0.5798 0.7199 0.7742
0.9000 0.0000 0.9752 0.9419 0.9275 0.9533 0.9626
0.9000 0.2000 0.8731 0.7168 0.6666 0.7705 0.8088
0.9000 0.4000 0.7724 0.5279 0.4654 0.5955 0.6645
0.9000 0.6000 0.7771 0.5116 0.4546 0.5920 0.6604
0.9000 0.8000 0.9050 0.7428 0.6859 0.7962 0.8393
0.9000 1.0000 0.9965 0.9909 0.9877 0.9927 0.9944
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9363 0.8532 0.8204 0.8821 0.9040
1.0000 0.4000 0.8326 0.6227 0.5585 0.6865 0.7434
1.0000 0.6000 0.8360 0.6029 0.5421 0.6824 0.7377
1.0000 0.8000 0.9708 0.9180 0.8928 0.9350 0.9507
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
