# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0527 0.0084 0.0096 0.0133 0.0209
0.1000 0.2000 0.0369 0.0054 0.0064 0.0089 0.0139
0.1000 0.4000 0.0266 0.0030 0.0046 0.0066 0.0093
0.1000 0.6000 0.0241 0.0029 0.0044 0.0063 0.0087
0.1000 0.8000 0.0291 0.0027 0.0062 0.0089 0.0106
0.1000 1.0000 0.0285 0.0027 0.0062 0.0088 0.0105
0.3000 0.0000 0.4100 0.1360 0.1104 0.1590 0.2392
0.3000 0.2000 0.2980 0.0762 0.0727 0.1013 0.1533
0.3000 0.4000 0.2140 0.0421 0.0510 0.0692 0.0995
0.3000 0.6000 0.1769 0.0299 0.0450 0.0609 0.0803
0.3000 0.8000 0.1801 0.0270 0.0506 0.0692 0.0826
0.3000 1.0000 0.2493 0.0423 0.0763 0.1046 0.1224
0.5000 0.0000 0.8041 0.5719 0.4496 0.5762 0.6906
0.5000 0.2000 0.6461 0.3201 0.2361 0.3476 0.4634
0.5000 0.4000 0.4937 0.1639 0.1535 0.2236 0.2978
0.5000 0.6000 0.4146 0.1151 0.1345 0.1896 0.2385
0.5000 0.8000 0.4452 0.1239 0.1576 0.2241 0.2647
0.5000 1.0000 0.5857 0.2227 0.2365 0.3473 0.3981
0.7000 0.0000 0.9676 0.9178 0.8836 0.9247 0.9479
0.7000 0.2000 0.9151 0.7679 0.6882 0.7897 0.8505
0.7000 0.4000 0.7769 0.4594 0.3785 0.5379 0.6198
0.7000 0.6000 0.6646 0.3306 0.2922 0.4290 0.4978
0.7000 0.8000 0.7174 0.3797 0.3403 0.4855 0.5535
0.7000 1.0000 0.8679 0.6489 0.5798 0.7199 0.7742
0.9000 0.0000 0.9985 0.9958 0.9942 0.9965 0.9974
0.9000 0.2000 0.9946 0.9837 0.9769 0.9868 0.9903
0.9000 0.4000 0.9636 0.8996 0.8689 0.9215 0.9386
0.9000 0.6000 0.8585 0.6757 0.6260 0.7414 0.7843
0.9000 0.8000 0.9198 0.7811 0.7286 0.8295 0.8640
0.9000 1.0000 0.9965 0.9909 0.9877 0.9927 0.9944
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.4000 0.9958 0.9895 0.9864 0.9917 0.9934
1.0000 0.6000 0.9076 0.7772 0.7361 0.8257 0.8569
1.0000 0.8000 0.9785 0.9393 0.9202 0.9527 0.9636
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
