# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.1384 0.0447 0.0467 0.0407 0.0869
0.1000 0.2000 0.1166 0.0353 0.0368 0.0308 0.0708
0.1000 0.4000 0.0894 0.0166 0.0198 0.0205 0.0448
0.1000 0.6000 0.0618 0.0044 0.0066 0.0083 0.0205
0.1000 0.8000 0.0544 0.0028 0.0063 0.0090 0.0110
0.1000 1.0000 0.0285 0.0027 0.0062 0.0088 0.0105
0.3000 0.0000 0.4214 0.1895 0.1649 0.2044 0.2973
0.3000 0.2000 0.3393 0.1402 0.1278 0.1456 0.2315
0.3000 0.4000 0.2834 0.1062 0.1014 0.1128 0.1858
0.3000 0.6000 0.2442 0.0768 0.0817 0.0919 0.1495
0.3000 0.8000 0.2335 0.0452 0.0675 0.0858 0.1206
0.3000 1.0000 0.2493 0.0423 0.0763 0.1046 0.1224
0.5000 0.0000 0.7251 0.4854 0.4108 0.5339 0.6117
0.5000 0.2000 0.5722 0.3082 0.2555 0.3436 0.4365
0.5000 0.4000 0.4777 0.2228 0.1931 0.2524 0.3434
0.5000 0.6000 0.4547 0.1818 0.1783 0.2276 0.3113
0.5000 0.8000 0.4971 0.1767 0.1937 0.2579 0.3311
0.5000 1.0000 0.5857 0.2227 0.2365 0.3473 0.3981
0.7000 0.0000 0.9067 0.7953 0.7503 0.8280 0.8619
0.7000 0.2000 0.8076 0.6227 0.5572 0.6653 0.7274
0.7000 0.4000 0.6778 0.4082 0.3451 0.4623 0.5475
0.7000 0.6000 0.6744 0.3856 0.3279 0.4352 0.5354
0.7000 0.8000 0.7355 0.4456 0.3870 0.5119 0.6004
0.7000 1.0000 0.8679 0.6489 0.5798 0.7199 0.7742
0.9000 0.0000 0.9854 0.9649 0.9549 0.9717 0.9776
0.9000 0.2000 0.9197 0.8206 0.7801 0.8512 0.8804
0.9000 0.4000 0.8422 0.6658 0.6018 0.7128 0.7673
0.9000 0.6000 0.8270 0.6047 0.5335 0.6581 0.7306
0.9000 0.8000 0.9046 0.7418 0.6834 0.7929 0.8384
0.9000 1.0000 0.9965 0.9909 0.9877 0.9927 0.9944
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9539 0.8927 0.8661 0.9125 0.9303
1.0000 0.4000 0.8910 0.7558 0.7037 0.7959 0.8360
1.0000 0.6000 0.8781 0.6982 0.6329 0.7485 0.8033
1.0000 0.8000 0.9713 0.9193 0.8939 0.9357 0.9514
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
