# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0980 0.0323 0.0363 0.0308 0.0626
0.1000 0.2000 0.0775 0.0237 0.0266 0.0225 0.0481
0.1000 0.4000 0.0665 0.0177 0.0209 0.0189 0.0384
0.1000 0.6000 0.0507 0.0086 0.0103 0.0106 0.0251
0.1000 0.8000 0.0463 0.0029 0.0065 0.0093 0.0116
0.1000 1.0000 0.0285 0.0027 0.0062 0.0088 0.0105
0.3000 0.0000 0.2910 0.1133 0.1182 0.1249 0.1987
0.3000 0.2000 0.2383 0.0873 0.0938 0.0937 0.1584
0.3000 0.4000 0.2099 0.0686 0.0780 0.0790 0.1328
0.3000 0.6000 0.1962 0.0542 0.0673 0.0734 0.1154
0.3000 0.8000 0.2109 0.0442 0.0665 0.0823 0.1123
0.3000 1.0000 0.2493 0.0423 0.0763 0.1046 0.1224
0.5000 0.0000 0.4898 0.2299 0.2162 0.2728 0.3588
0.5000 0.2000 0.3961 0.1670 0.1660 0.1940 0.2781
0.5000 0.4000 0.3606 0.1359 0.1426 0.1669 0.2424
0.5000 0.6000 0.3797 0.1267 0.1446 0.1787 0.2442
0.5000 0.8000 0.4665 0.1521 0.1814 0.2422 0.3002
0.5000 1.0000 0.5857 0.2227 0.2365 0.3473 0.3981
0.7000 0.0000 0.6951 0.4166 0.3741 0.4929 0.5651
0.7000 0.2000 0.5603 0.2811 0.2609 0.3373 0.4222
0.7000 0.4000 0.5194 0.2326 0.2219 0.2903 0.3744
0.7000 0.6000 0.5900 0.2660 0.2600 0.3540 0.4310
0.7000 0.8000 0.7223 0.4005 0.3650 0.5061 0.5747
0.7000 1.0000 0.8679 0.6489 0.5798 0.7199 0.7742
0.9000 0.0000 0.9150 0.7784 0.7311 0.8275 0.8603
0.9000 0.2000 0.7313 0.4602 0.4128 0.5365 0.6065
0.9000 0.4000 0.6711 0.3696 0.3338 0.4506 0.5294
0.9000 0.6000 0.7709 0.4759 0.4265 0.5751 0.6418
0.9000 0.8000 0.9061 0.7432 0.6860 0.7991 0.8409
0.9000 1.0000 0.9965 0.9909 0.9877 0.9927 0.9944
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.8165 0.5844 0.5300 0.6600 0.7157
1.0000 0.4000 0.7413 0.4541 0.4073 0.5413 0.6122
1.0000 0.6000 0.8403 0.5908 0.5290 0.6789 0.7360
1.0000 0.8000 0.9720 0.9207 0.8958 0.9372 0.9524
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
