# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.1156 0.0434 0.0373 0.0296 0.0739
0.1000 0.2000 0.0952 0.0336 0.0295 0.0241 0.0603
0.1000 0.4000 0.0773 0.0256 0.0222 0.0180 0.0466
0.1000 0.6000 0.0555 0.0041 0.0002 0.0000 0.0057
0.1000 0.8000 0.0460 0.0075 0.0005 0.0002 0.0102
0.1000 1.0000 0.0480 0.0138 0.0012 0.0005 0.0188
0.3000 0.0000 0.3561 0.1565 0.1346 0.1535 0.2477
0.3000 0.2000 0.2934 0.1224 0.1029 0.1076 0.1971
0.3000 0.4000 0.2574 0.1022 0.0769 0.0752 0.1636
0.3000 0.6000 0.2501 0.0963 0.0574 0.0524 0.1493
0.3000 0.8000 0.2681 0.1012 0.0438 0.0430 0.1508
0.3000 1.0000 0.3206 0.1255 0.0385 0.0470 0.1735
0.5000 0.0000 0.5866 0.3209 0.2717 0.3627 0.4526
0.5000 0.2000 0.5023 0.2479 0.2037 0.2637 0.3667
0.5000 0.4000 0.4662 0.2225 0.1675 0.2061 0.3314
0.5000 0.6000 0.4684 0.2253 0.1410 0.1661 0.3219
0.5000 0.8000 0.5533 0.2850 0.1602 0.2058 0.3882
0.5000 1.0000 0.6799 0.4077 0.2560 0.3617 0.5233
0.7000 0.0000 0.8352 0.6591 0.6005 0.7141 0.7609
0.7000 0.2000 0.6925 0.4317 0.3672 0.4853 0.5682
0.7000 0.4000 0.6309 0.3612 0.2801 0.3699 0.4916
0.7000 0.6000 0.6894 0.4200 0.3012 0.3894 0.5469
0.7000 0.8000 0.8112 0.6009 0.4892 0.6003 0.7124
0.7000 1.0000 0.9353 0.8456 0.7996 0.8668 0.8994
0.9000 0.0000 0.9752 0.9419 0.9275 0.9533 0.9626
0.9000 0.2000 0.8732 0.7222 0.6691 0.7721 0.8117
0.9000 0.4000 0.7844 0.5462 0.4585 0.5860 0.6736
0.9000 0.6000 0.8567 0.6781 0.5888 0.6943 0.7782
0.9000 0.8000 0.9579 0.8956 0.8669 0.9116 0.9341
0.9000 1.0000 0.9978 0.9943 0.9927 0.9955 0.9965
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9321 0.8442 0.8089 0.8744 0.8981
1.0000 0.4000 0.8535 0.6744 0.6003 0.7145 0.7764
1.0000 0.6000 0.9043 0.7726 0.7057 0.7928 0.8494
1.0000 0.8000 0.9859 0.9637 0.9550 0.9716 0.9779
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
