# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0527 0.0084 0.0096 0.0133 0.0209
0.1000 0.2000 0.0365 0.0057 0.0062 0.0087 0.0140
0.1000 0.4000 0.0204 0.0034 0.0024 0.0034 0.0072
0.1000 0.6000 0.0277 0.0061 0.0025 0.0034 0.0106
0.1000 0.8000 0.0275 0.0075 0.0005 0.0002 0.0102
0.1000 1.0000 0.0480 0.0138 0.0012 0.0005 0.0188
0.3000 0.0000 0.4100 0.1360 0.1104 0.1590 0.2392
0.3000 0.2000 0.2995 0.0813 0.0703 0.0979 0.1554
0.3000 0.4000 0.2112 0.0562 0.0391 0.0527 0.1017
0.3000 0.6000 0.1958 0.0605 0.0274 0.0354 0.0951
0.3000 0.8000 0.2183 0.0753 0.0200 0.0216 0.1062
0.3000 1.0000 0.3206 0.1255 0.0385 0.0470 0.1735
0.5000 0.0000 0.8041 0.5719 0.4496 0.5762 0.6906
0.5000 0.2000 0.6481 0.3417 0.2354 0.3402 0.4726
0.5000 0.4000 0.4894 0.2204 0.1340 0.1952 0.3182
0.5000 0.6000 0.4502 0.2162 0.1182 0.1722 0.2997
0.5000 0.8000 0.5170 0.2544 0.1287 0.1892 0.3464
0.5000 1.0000 0.6799 0.4077 0.2560 0.3617 0.5233
0.7000 0.0000 0.9676 0.9178 0.8836 0.9247 0.9479
0.7000 0.2000 0.9014 0.7652 0.6684 0.7652 0.8408
0.7000 0.4000 0.7334 0.5018 0.3569 0.4585 0.6065
0.7000 0.6000 0.6679 0.4611 0.3295 0.4170 0.5569
0.7000 0.8000 0.7856 0.5780 0.4556 0.5695 0.6837
0.7000 1.0000 0.9353 0.8456 0.7996 0.8668 0.8994
0.9000 0.0000 0.9985 0.9958 0.9942 0.9965 0.9974
0.9000 0.2000 0.9773 0.9402 0.9147 0.9463 0.9629
0.9000 0.4000 0.8790 0.7242 0.6131 0.7158 0.8075
0.9000 0.6000 0.8190 0.6599 0.5617 0.6551 0.7447
0.9000 0.8000 0.9483 0.8768 0.8416 0.8961 0.9205
0.9000 1.0000 0.9978 0.9943 0.9927 0.9955 0.9965
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9920 0.9792 0.9707 0.9818 0.9871
1.0000 0.4000 0.9302 0.8273 0.7533 0.8323 0.8867
1.0000 0.6000 0.8698 0.7368 0.6592 0.7459 0.8115
1.0000 0.8000 0.9812 0.9543 0.9422 0.9633 0.9713
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
