# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.1384 0.0447 0.0467 0.0407 0.0869
0.1000 0.2000 0.1165 0.0354 0.0366 0.0305 0.0708
0.1000 0.4000 0.0851 0.0163 0.0174 0.0171 0.0426
0.1000 0.6000 0.0669 0.0072 0.0040 0.0050 0.0218
0.1000 0.8000 0.0543 0.0075 0.0005 0.0002 0.0101
0.1000 1.0000 0.0480 0.0138 0.0012 0.0005 0.0188
0.3000 0.0000 0.4214 0.1895 0.1649 0.2044 0.2973
0.3000 0.2000 0.3484 0.1434 0.1274 0.1457 0.2353
0.3000 0.4000 0.3021 0.1156 0.0973 0.1067 0.1948
0.3000 0.6000 0.2749 0.1024 0.0695 0.0716 0.1677
0.3000 0.8000 0.2688 0.0894 0.0367 0.0394 0.1424
0.3000 1.0000 0.3206 0.1255 0.0385 0.0470 0.1735
0.5000 0.0000 0.7251 0.4854 0.4108 0.5339 0.6117
0.5000 0.2000 0.5973 0.3258 0.2643 0.3623 0.4577
0.5000 0.4000 0.5118 0.2531 0.1948 0.2525 0.3713
0.5000 0.6000 0.5058 0.2477 0.1695 0.2043 0.3582
0.5000 0.8000 0.5648 0.2947 0.1792 0.2298 0.4058
0.5000 1.0000 0.6799 0.4077 0.2560 0.3617 0.5233
0.7000 0.0000 0.9067 0.7953 0.7503 0.8280 0.8619
0.7000 0.2000 0.8249 0.6471 0.5810 0.6893 0.7485
0.7000 0.4000 0.7025 0.4390 0.3524 0.4652 0.5725
0.7000 0.6000 0.7216 0.4626 0.3573 0.4526 0.5925
0.7000 0.8000 0.8195 0.6016 0.4900 0.6067 0.7188
0.7000 1.0000 0.9353 0.8456 0.7996 0.8668 0.8994
0.9000 0.0000 0.9854 0.9649 0.9549 0.9717 0.9776
0.9000 0.2000 0.9288 0.8381 0.7996 0.8661 0.8931
0.9000 0.4000 0.8798 0.7307 0.6622 0.7621 0.8168
0.9000 0.6000 0.8826 0.7163 0.6371 0.7425 0.8118
0.9000 0.8000 0.9591 0.8978 0.8693 0.9129 0.9357
0.9000 1.0000 0.9978 0.9943 0.9927 0.9955 0.9965
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9611 0.9085 0.8847 0.9254 0.9409
1.0000 0.4000 0.9274 0.8245 0.7748 0.8512 0.8861
1.0000 0.6000 0.9305 0.8199 0.7646 0.8456 0.8863
1.0000 0.8000 0.9859 0.9634 0.9544 0.9712 0.9778
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
