# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0980 0.0323 0.0363 0.0308 0.0626
0.1000 0.2000 0.0772 0.0239 0.0265 0.0222 0.0481
0.1000 0.4000 0.0609 0.0178 0.0188 0.0156 0.0362
0.1000 0.6000 0.0549 0.0117 0.0085 0.0079 0.0270
0.1000 0.8000 0.0457 0.0075 0.0005 0.0002 0.0105
0.1000 1.0000 0.0480 0.0138 0.0012 0.0005 0.0188
0.3000 0.0000 0.2910 0.1133 0.1182 0.1249 0.1987
0.3000 0.2000 0.2439 0.0905 0.0925 0.0925 0.1610
0.3000 0.4000 0.2214 0.0797 0.0708 0.0693 0.1386
0.3000 0.6000 0.2267 0.0815 0.0539 0.0520 0.1329
0.3000 0.8000 0.2501 0.0902 0.0382 0.0370 0.1354
0.3000 1.0000 0.3206 0.1255 0.0385 0.0470 0.1735
0.5000 0.0000 0.4898 0.2299 0.2162 0.2728 0.3588
0.5000 0.2000 0.4164 0.1796 0.1654 0.1997 0.2913
0.5000 0.4000 0.3966 0.1673 0.1336 0.1582 0.2672
0.5000 0.6000 0.4523 0.2031 0.1302 0.1556 0.3017
0.5000 0.8000 0.5470 0.2746 0.1549 0.2071 0.3803
0.5000 1.0000 0.6799 0.4077 0.2560 0.3617 0.5233
0.7000 0.0000 0.6951 0.4166 0.3741 0.4929 0.5651
0.7000 0.2000 0.5816 0.2986 0.2618 0.3487 0.4397
0.7000 0.4000 0.5715 0.2864 0.2237 0.2963 0.4204
0.7000 0.6000 0.6678 0.3843 0.2713 0.3669 0.5178
0.7000 0.8000 0.8071 0.5823 0.4625 0.5862 0.7015
0.7000 1.0000 0.9353 0.8456 0.7996 0.8668 0.8994
0.9000 0.0000 0.9150 0.7784 0.7311 0.8275 0.8603
0.9000 0.2000 0.7465 0.4771 0.4162 0.5486 0.6220
0.9000 0.4000 0.7328 0.4543 0.3669 0.4932 0.5987
0.9000 0.6000 0.8416 0.6392 0.5383 0.6612 0.7523
0.9000 0.8000 0.9568 0.8914 0.8630 0.9111 0.9322
0.9000 1.0000 0.9978 0.9943 0.9927 0.9955 0.9965
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.8284 0.5988 0.5354 0.6715 0.7287
1.0000 0.4000 0.8030 0.5594 0.4683 0.6034 0.6917
1.0000 0.6000 0.8969 0.7475 0.6744 0.7765 0.8352
1.0000 0.8000 0.9858 0.9629 0.9544 0.9717 0.9776
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
