# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0527 0.0084 0.0096 0.0133 0.0209
0.1000 0.2000 0.0531 0.0054 0.0063 0.0088 0.0138
0.1000 0.4000 0.0552 0.0027 0.0031 0.0044 0.0095
0.1000 0.6000 0.0827 0.0263 0.0243 0.0209 0.0492
0.1000 0.8000 0.0944 0.0333 0.0295 0.0241 0.0599
0.1000 1.0000 0.1156 0.0434 0.0373 0.0296 0.0739
0.3000 0.0000 0.4100 0.1360 0.1104 0.1590 0.2392
0.3000 0.2000 0.3377 0.1057 0.0968 0.1246 0.1970
0.3000 0.4000 0.2768 0.0915 0.0837 0.0959 0.1661
0.3000 0.6000 0.2674 0.1006 0.0898 0.0944 0.1716
0.3000 0.8000 0.2882 0.1195 0.1042 0.1081 0.1947
0.3000 1.0000 0.3561 0.1565 0.1346 0.1535 0.2477
0.5000 0.0000 0.8041 0.5719 0.4496 0.5762 0.6906
0.5000 0.2000 0.6729 0.3745 0.2840 0.3877 0.5167
0.5000 0.4000 0.5348 0.2452 0.1989 0.2673 0.3778
0.5000 0.6000 0.4814 0.2172 0.1862 0.2421 0.3401
0.5000 0.8000 0.4884 0.2375 0.2020 0.2578 0.3562
0.5000 1.0000 0.5866 0.3209 0.2717 0.3627 0.4526
0.7000 0.0000 0.9676 0.9178 0.8836 0.9247 0.9479
0.7000 0.2000 0.9156 0.7933 0.7175 0.7985 0.8641
0.7000 0.4000 0.7725 0.5146 0.4205 0.5415 0.6505
0.7000 0.6000 0.6640 0.3728 0.3132 0.4272 0.5206
0.7000 0.8000 0.6790 0.4103 0.3494 0.4665 0.5490
0.7000 1.0000 0.8352 0.6591 0.6005 0.7141 0.7609
0.9000 0.0000 0.9985 0.9958 0.9942 0.9965 0.9974
0.9000 0.2000 0.9846 0.9575 0.9418 0.9645 0.9745
0.9000 0.4000 0.9286 0.8226 0.7610 0.8340 0.8843
0.9000 0.6000 0.8348 0.6055 0.5289 0.6689 0.7345
0.9000 0.8000 0.8725 0.7177 0.6620 0.7678 0.8089
0.9000 1.0000 0.9752 0.9419 0.9275 0.9533 0.9626
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9950 0.9862 0.9815 0.9890 0.9918
1.0000 0.4000 0.9686 0.9168 0.8873 0.9278 0.9485
1.0000 0.6000 0.8985 0.7377 0.6717 0.7859 0.8323
1.0000 0.8000 0.9352 0.8486 0.8117 0.8771 0.9014
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
