# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.1384 0.0447 0.0467 0.0407 0.0869
0.1000 0.2000 0.1324 0.0368 0.0370 0.0317 0.0745
0.1000 0.4000 0.1173 0.0208 0.0200 0.0207 0.0524
0.1000 0.6000 0.1216 0.0317 0.0286 0.0268 0.0647
0.1000 0.8000 0.1197 0.0343 0.0301 0.0249 0.0636
0.1000 1.0000 0.1156 0.0434 0.0373 0.0296 0.0739
0.3000 0.0000 0.4214 0.1895 0.1649 0.2044 0.2973
0.3000 0.2000 0.3829 0.1686 0.1501 0.1806 0.2695
0.3000 0.4000 0.3515 0.1522 0.1338 0.1554 0.2449
0.3000 0.6000 0.3362 0.1458 0.1285 0.1446 0.2350
0.3000 0.8000 0.3375 0.1399 0.1229 0.1382 0.2304
0.3000 1.0000 0.3561 0.1565 0.1346 0.1535 0.2477
0.5000 0.0000 0.7251 0.4854 0.4108 0.5339 0.6117
0.5000 0.2000 0.6091 0.3437 0.2889 0.3886 0.4772
0.5000 0.4000 0.5433 0.2833 0.2418 0.3178 0.4120
0.5000 0.6000 0.5263 0.2687 0.2335 0.2988 0.3970
0.5000 0.8000 0.5369 0.2780 0.2419 0.3066 0.4077
0.5000 1.0000 0.5866 0.3209 0.2717 0.3627 0.4526
0.7000 0.0000 0.9067 0.7953 0.7503 0.8280 0.8619
0.7000 0.2000 0.8356 0.6606 0.5997 0.7091 0.7620
0.7000 0.4000 0.7106 0.4509 0.3852 0.5094 0.5884
0.7000 0.6000 0.6757 0.4095 0.3527 0.4623 0.5501
0.7000 0.8000 0.7187 0.4609 0.4046 0.5188 0.6006
0.7000 1.0000 0.8352 0.6591 0.6005 0.7141 0.7609
0.9000 0.0000 0.9854 0.9649 0.9549 0.9717 0.9776
0.9000 0.2000 0.9317 0.8420 0.8057 0.8723 0.8968
0.9000 0.4000 0.8643 0.6995 0.6373 0.7487 0.7957
0.9000 0.6000 0.8116 0.5897 0.5234 0.6525 0.7151
0.9000 0.8000 0.8986 0.7639 0.7182 0.8081 0.8452
0.9000 1.0000 0.9752 0.9419 0.9275 0.9533 0.9626
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9583 0.9013 0.8769 0.9207 0.9365
1.0000 0.4000 0.9068 0.7817 0.7312 0.8222 0.8569
1.0000 0.6000 0.8692 0.6899 0.6273 0.7462 0.7946
1.0000 0.8000 0.9537 0.8835 0.8561 0.9084 0.9271
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
