# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0980 0.0323 0.0363 0.0308 0.0626
0.1000 0.2000 0.0933 0.0241 0.0270 0.0227 0.0493
0.1000 0.4000 0.0940 0.0183 0.0201 0.0175 0.0413
0.1000 0.6000 0.1096 0.0339 0.0312 0.0298 0.0660
0.1000 0.8000 0.1108 0.0340 0.0300 0.0247 0.0628
0.1000 1.0000 0.1156 0.0434 0.0373 0.0296 0.0739
0.3000 0.0000 0.2910 0.1133 0.1182 0.1249 0.1987
0.3000 0.2000 0.2861 0.1139 0.1132 0.1187 0.1960
0.3000 0.4000 0.2815 0.1150 0.1077 0.1121 0.1923
0.3000 0.6000 0.2968 0.1252 0.1123 0.1199 0.2044
0.3000 0.8000 0.3201 0.1373 0.1212 0.1319 0.2217
0.3000 1.0000 0.3561 0.1565 0.1346 0.1535 0.2477
0.5000 0.0000 0.4898 0.2299 0.2162 0.2728 0.3588
0.5000 0.2000 0.4538 0.2109 0.1980 0.2346 0.3315
0.5000 0.4000 0.4457 0.2095 0.1908 0.2272 0.3253
0.5000 0.6000 0.4755 0.2297 0.2028 0.2499 0.3494
0.5000 0.8000 0.5206 0.2650 0.2306 0.2919 0.3911
0.5000 1.0000 0.5866 0.3209 0.2717 0.3627 0.4526
0.7000 0.0000 0.6951 0.4166 0.3741 0.4929 0.5651
0.7000 0.2000 0.6232 0.3452 0.3106 0.3996 0.4916
0.7000 0.4000 0.5930 0.3193 0.2800 0.3625 0.4589
0.7000 0.6000 0.6209 0.3495 0.3020 0.3959 0.4885
0.7000 0.8000 0.7038 0.4419 0.3862 0.5020 0.5819
0.7000 1.0000 0.8352 0.6591 0.6005 0.7141 0.7609
0.9000 0.0000 0.9150 0.7784 0.7311 0.8275 0.8603
0.9000 0.2000 0.7798 0.5326 0.4717 0.6005 0.6714
0.9000 0.4000 0.7222 0.4570 0.3941 0.5213 0.6009
0.9000 0.6000 0.7622 0.5143 0.4484 0.5796 0.6506
0.9000 0.8000 0.8850 0.7406 0.6911 0.7906 0.8273
0.9000 1.0000 0.9752 0.9419 0.9275 0.9533 0.9626
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.8524 0.6501 0.5885 0.7143 0.7682
1.0000 0.4000 0.7796 0.5323 0.4638 0.6012 0.6708
1.0000 0.6000 0.8212 0.6015 0.5339 0.6672 0.7263
1.0000 0.8000 0.9414 0.8607 0.8281 0.8897 0.9105
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
