# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.1384 0.0447 0.0467 0.0407 0.0869
0.1000 0.2000 0.1159 0.0351 0.0367 0.0305 0.0705
0.1000 0.4000 0.0930 0.0175 0.0199 0.0210 0.0463
0.1000 0.6000 0.0678 0.0055 0.0065 0.0087 0.0224
0.1000 0.8000 0.0625 0.0054 0.0062 0.0087 0.0141
0.1000 1.0000 0.0527 0.0084 0.0096 0.0133 0.0209
0.3000 0.0000 0.4214 0.1895 0.1649 0.2044 0.2973
0.3000 0.2000 0.3470 0.1423 0.1296 0.1488 0.2354
0.3000 0.4000 0.3219 0.1192 0.1114 0.1293 0.2084
0.3000 0.6000 0.3132 0.1046 0.0989 0.1183 0.1936
0.3000 0.8000 0.3467 0.0995 0.0919 0.1247 0.1964
0.3000 1.0000 0.4100 0.1360 0.1104 0.1590 0.2392
0.5000 0.0000 0.7251 0.4854 0.4108 0.5339 0.6117
0.5000 0.2000 0.5933 0.3207 0.2661 0.3620 0.4535
0.5000 0.4000 0.5551 0.2697 0.2281 0.3094 0.4075
0.5000 0.6000 0.5776 0.2843 0.2385 0.3168 0.4282
0.5000 0.8000 0.6791 0.3867 0.3026 0.4050 0.5305
0.5000 1.0000 0.8041 0.5719 0.4496 0.5762 0.6906
0.7000 0.0000 0.9067 0.7953 0.7503 0.8280 0.8619
0.7000 0.2000 0.8306 0.6447 0.5780 0.6921 0.7500
0.7000 0.4000 0.7534 0.5009 0.4283 0.5553 0.6377
0.7000 0.6000 0.7870 0.5470 0.4609 0.5765 0.6773
0.7000 0.8000 0.9140 0.7900 0.7183 0.8007 0.8626
0.7000 1.0000 0.9676 0.9178 0.8836 0.9247 0.9479
0.9000 0.0000 0.9854 0.9649 0.9549 0.9717 0.9776
0.9000 0.2000 0.9378 0.8513 0.8140 0.8797 0.9040
0.9000 0.4000 0.9052 0.7838 0.7285 0.8136 0.8555
0.9000 0.6000 0.9318 0.8231 0.7651 0.8421 0.8873
0.9000 0.8000 0.9835 0.9537 0.9358 0.9600 0.9724
0.9000 1.0000 0.9985 0.9958 0.9942 0.9965 0.9974
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.9670 0.9195 0.8980 0.9355 0.9488
1.0000 0.4000 0.9414 0.8609 0.8218 0.8820 0.9094
1.0000 0.6000 0.9733 0.9249 0.8978 0.9365 0.9547
1.0000 0.8000 0.9951 0.9864 0.9818 0.9891 0.9919
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
