# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0980 0.0323 0.0363 0.0308 0.0626
0.1000 0.2000 0.0765 0.0236 0.0265 0.0222 0.0477
0.1000 0.4000 0.0685 0.0186 0.0208 0.0192 0.0393
0.1000 0.6000 0.0556 0.0098 0.0106 0.0114 0.0270
0.1000 0.8000 0.0538 0.0054 0.0062 0.0087 0.0142
0.1000 1.0000 0.0527 0.0084 0.0096 0.0133 0.0209
0.3000 0.0000 0.2910 0.1133 0.1182 0.1249 0.1987
0.3000 0.2000 0.2428 0.0883 0.0940 0.0952 0.1599
0.3000 0.4000 0.2450 0.0784 0.0834 0.0913 0.1491
0.3000 0.6000 0.2683 0.0787 0.0810 0.0972 0.1542
0.3000 0.8000 0.3313 0.0962 0.0911 0.1209 0.1865
0.3000 1.0000 0.4100 0.1360 0.1104 0.1590 0.2392
0.5000 0.0000 0.4898 0.2299 0.2162 0.2728 0.3588
0.5000 0.2000 0.4175 0.1741 0.1708 0.2064 0.2899
0.5000 0.4000 0.4524 0.1773 0.1681 0.2212 0.3037
0.5000 0.6000 0.5317 0.2285 0.1971 0.2692 0.3692
0.5000 0.8000 0.6653 0.3601 0.2779 0.3852 0.5051
0.5000 1.0000 0.8041 0.5719 0.4496 0.5762 0.6906
0.7000 0.0000 0.6951 0.4166 0.3741 0.4929 0.5651
0.7000 0.2000 0.5958 0.3028 0.2748 0.3701 0.4512
0.7000 0.4000 0.6365 0.3241 0.2791 0.3906 0.4819
0.7000 0.6000 0.7527 0.4721 0.3810 0.5087 0.6178
0.7000 0.8000 0.9084 0.7726 0.6897 0.7836 0.8512
0.7000 1.0000 0.9676 0.9178 0.8836 0.9247 0.9479
0.9000 0.0000 0.9150 0.7784 0.7311 0.8275 0.8603
0.9000 0.2000 0.7653 0.4983 0.4402 0.5797 0.6446
0.9000 0.4000 0.7960 0.5333 0.4508 0.5971 0.6772
0.9000 0.6000 0.9124 0.7715 0.6915 0.7924 0.8533
0.9000 0.8000 0.9830 0.9523 0.9341 0.9603 0.9716
0.9000 1.0000 0.9985 0.9958 0.9942 0.9965 0.9974
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.8462 0.6307 0.5687 0.7041 0.7547
1.0000 0.4000 0.8558 0.6491 0.5683 0.7010 0.7664
1.0000 0.6000 0.9591 0.8821 0.8368 0.9000 0.9292
1.0000 0.8000 0.9949 0.9855 0.9806 0.9885 0.9915
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
