# t, rho, density, C11, C12, C44, K
0.1000 0.0000 0.0980 0.0323 0.0363 0.0308 0.0626
0.1000 0.2000 0.0995 0.0240 0.0269 0.0228 0.0503
0.1000 0.4000 0.1030 0.0223 0.0240 0.0238 0.0534
0.1000 0.6000 0.1141 0.0258 0.0278 0.0282 0.0609
0.1000 0.8000 0.1300 0.0362 0.0379 0.0321 0.0735
0.1000 1.0000 0.1384 0.0447 0.0467 0.0407 0.0869
0.3000 0.0000 0.2910 0.1133 0.1182 0.1249 0.1987
0.3000 0.2000 0.2878 0.1051 0.1100 0.1129 0.1912
0.3000 0.4000 0.3002 0.1192 0.1160 0.1231 0.2056
0.3000 0.6000 0.3267 0.1344 0.1235 0.1376 0.2243
0.3000 0.8000 0.3676 0.1576 0.1407 0.1637 0.2556
0.3000 1.0000 0.4214 0.1895 0.1649 0.2044 0.2973
0.5000 0.0000 0.4898 0.2299 0.2162 0.2728 0.3588
0.5000 0.2000 0.4679 0.2130 0.2073 0.2383 0.3420
0.5000 0.4000 0.4756 0.2225 0.2047 0.2443 0.3483
0.5000 0.6000 0.5209 0.2607 0.2237 0.2840 0.3880
0.5000 0.8000 0.6091 0.3424 0.2826 0.3745 0.4741
0.5000 1.0000 0.7251 0.4854 0.4108 0.5339 0.6117
0.7000 0.0000 0.6951 0.4166 0.3741 0.4929 0.5651
0.7000 0.2000 0.6416 0.3514 0.3293 0.4106 0.5070
0.7000 0.4000 0.6362 0.3509 0.3120 0.3982 0.4993
0.7000 0.6000 0.7041 0.4378 0.3670 0.4806 0.5753
0.7000 0.8000 0.8441 0.6840 0.6118 0.7100 0.7743
0.7000 1.0000 0.9067 0.7953 0.7503 0.8280 0.8619
0.9000 0.0000 0.9150 0.7784 0.7311 0.8275 0.8603
0.9000 0.2000 0.8085 0.5487 0.5056 0.6258 0.6970
0.9000 0.4000 0.7824 0.5154 0.4584 0.5842 0.6627
0.9000 0.6000 0.8890 0.7500 0.6783 0.7767 0.8289
0.9000 0.8000 0.9474 0.8787 0.8427 0.8940 0.9196
0.9000 1.0000 0.9854 0.9649 0.9549 0.9717 0.9776
1.0000 0.0000 1.0000 1.0000 1.0000 1.0000 1.0000
1.0000 0.2000 0.8856 0.6824 0.6349 0.7528 0.8029
1.0000 0.4000 0.8474 0.6148 0.5511 0.6829 0.7468
1.0000 0.6000 0.9366 0.8450 0.7946 0.8655 0.8986
1.0000 0.8000 0.9754 0.9414 0.9228 0.9502 0.9620
1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
